alcohol,category,country,price,rating,region,varietal,vintage
12.5,White,Portugal,20.0,84,Tejo,Sauvignon Blanc,2017.0
13.0,White,Portugal,12.0,83,Alentejano,Portuguese White,2017.0
13.0,White,Portugal,12.0,84,Alentejano,Portuguese White,2017.0
13.0,White,Portugal,9.0,85,Alentejano,Portuguese White,2017.0
13.0,White,Portugal,9.0,85,Alentejano,Portuguese White,2017.0
12.0,White,Portugal,9.0,85,Vinho Verde,Portuguese White,2017.0
12.5,White,Portugal,10.0,85,Lisboa,Portuguese White,2017.0
13.0,White,Portugal,13.0,91,Dão,Encruzado,2017.0
13.0,White,Portugal,16.0,89,Vinho Verde,Alvarinho,2017.0
12.5,White,Portugal,23.0,90,Alentejano,Portuguese White,2016.0
13.0,White,Portugal,11.0,88,Dão,Portuguese White,2017.0
13.0,White,Portugal,18.0,88,Tejo,Chardonnay,2017.0
13.5,White,Portugal,19.0,89,Beira Interior,Portuguese White,2017.0
12.5,White,Portugal,9.0,88,Bairrada,Bical,2017.0
13.0,White,Portugal,19.0,88,Tejo,Portuguese White,2017.0
13.0,White,Portugal,18.0,87,Tejo,Sauvignon Blanc,2017.0
13.0,White,Portugal,15.0,87,Obidos,Portuguese White,2017.0
13.0,White,Portugal,14.0,87,Douro,Portuguese White,2017.0
14.5,White,Portugal,20.0,88,Alentejo,Portuguese White,2017.0
